Gene,Target_ChEMBL_ID,Target_Name,Molecule_ChEMBL_ID,Drug_Name,SMILES,pChEMBL,Assay_Type,Max_Phase,First_Approval,Source
NLRP3,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",CHEMBL1525362,,c1ccc(C2Nc3ccccc3C3OCCCC23)cc1,6.05,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL406237,,COC[C@H]1OC(=O)/C(=C/N2CCN(Cc3ccccc3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,6.05,IC50,,,ChEMBL_API
IL1B,CHEMBL1909490,Interleukin-1 beta,CHEMBL68669,,O=C[C@H](CC(=O)O)NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)CCc2ccccc2)c1=O,6.05,Ki,,,ChEMBL_API
iNOS,CHEMBL4481,"Nitric oxide synthase, inducible",CHEMBL169840,,CCC1N=C(N)c2ccccc2N1,6.05,IC50,,,ChEMBL_API
iNOS,CHEMBL4481,"Nitric oxide synthase, inducible",CHEMBL291544,,Cc1cccnc1N,6.03,IC50,,,ChEMBL_API
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL76297,,CNC(=O)[C@@H](NC(=O)[C@H](c1ccccc1)[C@H](CO)C(=O)NO)C(C)(C)C,6.03,IC50,,,ChEMBL_API
iNOS,CHEMBL4481,"Nitric oxide synthase, inducible",CHEMBL544514,,Cl.Cl.NC1=Nc2cc(CNCc3cccc(Cl)c3)ccc2[C@H]2CCC[C@@H]12,6.02,IC50,,,ChEMBL_API
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL3740051,,CN(CCN(C)C(=O)c1cn(S(=O)(=O)c2cccc(N)c2)c2ccccc12)C(=O)c1coc2ccccc2c1=O,6.02,Kd,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL260313,,COC[C@H]1OC(=O)/C(=C/N2CCC(=O)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,6.02,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL271430,,COC[C@H]1OC(=O)/C(=C/N2CCN(C3CCN(C)CC3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,6.02,IC50,,,ChEMBL_API
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL1468181,,CC(C)(C)c1ccc(C(=O)O/N=C(\N)c2ccccn2)cc1,6.02,IC50,,,ChEMBL_API
NLRP3,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",CHEMBL5179909,,CC(C)(C)OC(=O)NC1CN(c2ccc(S(=O)(=O)NC(=O)Nc3c4c(cc5c3CCC5)CCC4)c3nonc23)C1,6.02,IC50,,,ChEMBL_API
ULK1,CHEMBL6006,Serine/threonine-protein kinase ULK1,CHEMBL4538751,,Cc1cc(-c2ccc3nc(Nc4cc([C@@H](C)N5CCN(C(=O)CC(F)(F)F)CC5)ccn4)[nH]c3c2)ncn1,6.01,IC50,,,ChEMBL_API
IL1B,CHEMBL1909490,Interleukin-1 beta,CHEMBL5567232,,CC(C(=O)N[C@@H](C=O)CC(=O)O)n1c(Cc2ccccc2)ccc(NC(=O)CCc2ccccc2)c1=O,6.01,Ki,,,ChEMBL_API
ULK1,CHEMBL6006,Serine/threonine-protein kinase ULK1,CHEMBL601719,CRIZOTINIB,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,6.00,Kd,4.0,2011.0,ChEMBL_API
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL279785,MARIMASTAT,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,6.00,IC50,3.0,,ChEMBL_API
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL1731774,,Cn1nccc1C(=O)N[C@H]1CCCc2c1cnn2-c1ccccc1F,6.00,IC50,,,ChEMBL_API
ULK1,CHEMBL6006,Serine/threonine-protein kinase ULK1,CHEMBL603469,LESTAURTINIB,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,6.00,Kd,3.0,,ChEMBL_API
NLRP3,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",CHEMBL4740148,,C/C1=C\CC[C@]2(C)O[C@@H]2[C@H]2OC(=O)[C@@H](CN(C)CCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)[C@@H]2CC1,6.00,IC50,,,ChEMBL_API
iNOS,CHEMBL4481,"Nitric oxide synthase, inducible",CHEMBL113793,,COc1ccnc(N)c1,6.00,IC50,,,ChEMBL_API
iNOS,CHEMBL4481,"Nitric oxide synthase, inducible",CHEMBL269058,,N=C1CCCCN1,6.00,IC50,,,ChEMBL_API
NLRP3,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",CHEMBL4744515,,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)/C=C/c1ccccn1,6.00,IC50,,,ChEMBL_API
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL124975,,CCOC(=O)CCCn1cc(Br)c2cc(O)c(O)cc2c1=O,6.00,IC50,,,ChEMBL_API
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL3640299,,COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3cc(F)c4c(=O)[nH][nH]c4c3)NC(=O)NC1=O)C2,10.52,Ki,,,ChEMBL_API
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL3640298,,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cc(F)c4c(=O)[nH][nH]c4c3)NC(=O)NC1=O)C2,10.28,Ki,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL558955,,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccc(CO)cc5)cc4)nc32)CC1,10.10,IC50,,,ChEMBL_API
